year,YoY Change,volatility,code
1995,2.071613578237619,57.54302944302651,BRA
1996,58.43602290526362,23.058225357571747,BRA
1997,50.672129969089205,46.26741267722618,BRA
1998,-33.75954198473282,57.06325427385634,BRA
1999,143.8778450014405,48.99448516644344,BRA
2000,-8.889545186060243,32.662316843872084,BRA
2001,-10.068071312803895,32.82895376944263,BRA
2002,-16.35668973471741,32.66025055273836,BRA
2003,93.44135137464448,24.137936745469705,BRA
2004,14.600133660057924,28.30591824018475,BRA
2005,30.265920223932817,24.778060012251782,BRA
2006,35.44334019757065,23.911941149276583,BRA
2007,38.41085869158054,27.0188955179262,BRA
2008,-35.932500198997054,52.152950708518794,BRA
2009,74.05079017990259,31.141914097641866,BRA
2010,-0.11849525305160924,20.173367320616382,BRA
2011,-17.342271518824504,24.53597041687798,BRA
2012,8.163724083072509,21.308182427063464,BRA
2013,-17.654676258992808,20.28387711656335,BRA
2014,-5.81474362707981,25.020304889151188,BRA
2015,-13.132833113456465,23.024512786708506,BRA
2016,43.24766854132556,26.436884857886465,BRA
2017,29.031309015008432,19.870345183462817,BRA
2018,16.845673135189877,21.731085847582058,BRA
2019,30.282485962613205,17.958506666816614,BRA
2020,0.23749062814415467,44.28735987728843,BRA
2021,-12.563827934444326,20.49667369157318,BRA
2022,0.2347914782240501,20.427144532765823,BRA
