date,value
1993-04-27,24.5000
1993-04-28,24.3000
1993-04-29,23.7000
1993-04-30,24.1000
1993-05-03,24.1000
1993-05-04,24.9000
1993-05-05,24.6000
1993-05-06,25.6000
1993-05-07,25.8000
1993-05-10,25.2000
1993-05-11,26.3000
1993-05-12,26.7000
1993-05-13,27.4000
1993-05-14,27.8000
1993-05-17,29.3000
1993-05-18,29.5000
1993-05-19,29.9000
1993-05-20,32.0000
1993-05-21,33.2000
1993-05-24,33.8000
1993-05-25,34.4000
1993-05-26,35.0000
1993-05-27,34.8000
1993-05-28,34.9000
1993-05-31,34.9000
1993-06-01,37.2000
1993-06-02,39.3000
1993-06-03,40.8000
1993-06-04,41.2000
1993-06-07,42.2000
1993-06-08,42.2000
1993-06-09,41.5000
1993-06-11,44.9000
1993-06-14,45.2000
1993-06-15,45.9000
1993-06-16,49.4000
1993-06-17,47.1000
1993-06-18,47.4000
1993-06-21,47.9000
1993-06-22,49.5000
1993-06-23,48.1000
1993-06-24,48.7000
1993-06-25,52.2000
1993-06-28,53.6000
1993-06-29,52.9000
1993-06-30,53.7000
1993-07-01,52.3000
1993-07-02,52.3000
1993-07-05,54.9000
1993-07-06,56.1000
1993-07-07,57.5000
1993-07-08,57.1000
1993-07-09,58.8000
1993-07-12,59.7000
1993-07-13,60.4000
1993-07-14,58.0000
1993-07-15,57.1000
1993-07-16,58.3000
1993-07-19,59.2000
1993-07-20,62.3000
1993-07-21,62.3000
1993-07-22,61.7000
1993-07-23,63.5000
1993-07-26,61.8000
1993-07-27,62.1000
1993-07-28,63.8000
1993-07-29,66.1000
1993-07-30,65.6000
1993-08-02,62.7000
1993-08-03,62.6000
1993-08-04,61.8000
1993-08-05,62.7000
1993-08-06,64.2000
1993-08-09,64.3000
1993-08-10,67.5000
1993-08-11,69.9000
1993-08-12,74.0000
1993-08-13,72.7000
1993-08-16,77.3000
1993-08-17,80.2000
1993-08-18,79.5000
1993-08-19,85.1000
1993-08-20,88.3000
1993-08-23,89.9000
1993-08-24,90.6000
1993-08-25,91.5000
1993-08-26,97.3000
1993-08-27,97.3000
1993-08-30,99.8000
1993-08-31,96.4000
1993-09-01,102.6000
1993-09-02,109.9000
1993-09-03,111.8000
1993-09-06,116.2000
1993-09-08,117.5000
1993-09-09,118.2000
1993-09-10,123.1000
1993-09-13,123.2000
1993-09-14,120.3000
1993-09-15,124.0000
1993-09-16,127.8000
1993-09-17,138.9000
1993-09-20,138.1000
1993-09-21,134.7000
1993-09-22,136.2000
1993-09-23,143.0000
1993-09-24,142.7000
1993-09-27,139.1000
1993-09-28,143.8000
1993-09-29,147.4000
1993-09-30,146.6000
1993-10-01,148.3000
1993-10-04,147.2000
1993-10-05,153.4000
1993-10-06,157.8000
1993-10-07,167.0000
1993-10-08,172.9000
1993-10-11,180.7000
1993-10-13,184.6000
1993-10-14,187.0000
1993-10-15,189.4000
1993-10-18,171.4000
1993-10-19,176.7000
1993-10-20,166.0000
1993-10-21,150.3000
1993-10-22,166.9000
1993-10-25,156.1000
1993-10-26,164.3000
1993-10-27,179.8000
1993-10-28,177.5000
1993-10-29,184.4000
1993-11-01,203.6000
1993-11-03,201.5000
1993-11-04,198.1000
1993-11-05,201.5000
1993-11-08,212.9000
1993-11-09,213.4000
1993-11-10,228.3000
1993-11-11,232.8000
1993-11-12,235.9000
1993-11-16,239.3000
1993-11-17,250.5000
1993-11-18,251.3000
1993-11-19,249.8000
1993-11-22,247.4000
1993-11-23,258.4000
1993-11-24,270.1000
1993-11-25,276.4000
1993-11-26,282.2000
1993-11-29,276.5000
1993-11-30,274.0000
1993-12-01,267.0000
1993-12-02,271.7000
1993-12-03,288.7000
1993-12-06,296.2000
1993-12-07,293.0000
1993-12-08,291.2000
1993-12-09,284.7000
1993-12-10,290.6000
1993-12-13,294.3000
1993-12-14,304.9000
1993-12-15,301.2000
1993-12-16,304.3000
1993-12-17,309.4000
1993-12-20,310.0000
1993-12-21,329.7000
