year,YoY Change,volatility,code
1991,16.27242524916943,19.596088155150216,FRA
1992,5.326018629635976,19.06204873019935,FRA
1993,24.279751505615543,15.500693607843468,FRA
1994,-17.667863543706297,17.49966860753008,FRA
1995,1.1930643194230761,17.37530034944151,FRA
1996,18.266610773422755,12.445614632354337,FRA
1997,34.63447053610986,22.043585537480894,FRA
1998,36.48928818244646,26.307828692897434,FRA
1999,42.67317902350813,19.339116603553254,FRA
2000,-2.00207521243263,23.47582197937788,FRA
2001,-21.011916415387688,26.04056474953878,FRA
2002,-30.24643768385653,35.49656558707286,FRA
2003,12.575195147448227,25.747117687890956,FRA
2004,7.197506116548036,13.914533303788392,FRA
2005,23.322475499068275,11.058710916399852,FRA
2006,18.145207871955947,14.810039742042141,FRA
2007,-1.198888871088033,17.059014621087435,FRA
2008,-39.64914058996427,40.80300563652101,FRA
2009,19.831092424406215,26.71617889900556,FRA
2010,-2.81790596342274,23.810143643969614,FRA
2011,-17.39514062552512,28.857791421423965,FRA
2012,15.87778605344008,20.805979457290526,FRA
2013,13.21261815868584,16.167662948164928,FRA
2014,0.5916381499043277,16.257892512990452,FRA
2015,6.353287287555642,22.608267281018108,FRA
2016,7.958734404637546,20.862662923183564,FRA
2017,8.320122563176158,10.627548521022353,FRA
2018,-11.33021971788375,13.862652120530068,FRA
2019,28.833387711408086,13.318073690354062,FRA
2020,-7.490523876520728,32.61622649655787,FRA
2021,29.133506054793745,13.869786777211159,FRA
2022,-8.221032475108148,22.400001903945054,FRA
