year,YoY Change,volatility,code
1996,5.960658952941156,12.163147256409516,ZAF
1997,-7.675244668184988,20.54299454561544,ZAF
1998,-9.032842646746687,27.949423463405438,ZAF
1999,67.35986792182761,16.162589643007518,ZAF
2000,-2.8294028261223625,20.545313781979573,ZAF
2001,28.632230792139236,21.96867658266312,ZAF
2002,-13.13866218497478,18.7068273622183,ZAF
2003,13.424151386442906,17.640444402419664,ZAF
2004,21.629587627296676,14.412314651019807,ZAF
2005,43.5795668763503,13.193856034222625,ZAF
2006,37.05121569866581,21.831755647585247,ZAF
2007,16.324471681710364,19.002071214522026,ZAF
2008,-25.624183921149303,36.251074808893605,ZAF
2009,28.16594608750784,24.439898324675628,ZAF
2010,15.819644892183927,16.85967793286693,ZAF
2011,1.4245339637632748,18.59876244582227,ZAF
2012,22.257452694444503,11.350185763566598,ZAF
2013,16.294720025959908,14.64836139526415,ZAF
2014,6.286325089021827,12.811561153643543,ZAF
2015,-0.40766598651655883,16.805151829126686,ZAF
2016,3.455326714468021,16.850421670803108,ZAF
2017,17.072495730161073,10.114986685367475,ZAF
2018,-14.175348344147354,17.107491360295068,ZAF
2019,12.589599809301099,12.687049817215827,ZAF
2020,4.784330711389861,30.415291833070366,ZAF
2021,21.897002319136007,15.761193510757177,ZAF
