year,YoY Change,volatility,code
1988,18.38778812929185,17.013826324437453,HKG
1989,4.854623711530648,34.49341090022651,HKG
1990,6.796796913540848,18.9606843807135,HKG
1991,41.92675024744308,17.692104591453663,HKG
1992,26.40755155551404,22.395869812676864,HKG
1993,122.26820487212495,22.603249073891046,HKG
1994,-35.10031770984157,29.52967350045871,HKG
1995,30.096509094778146,20.076705814186962,HKG
1996,29.382942336213304,16.74379760809979,HKG
1997,-19.107205140881746,39.82930049458304,HKG
1998,-8.158996054865675,44.169797196717916,HKG
1999,77.07544141936005,26.516993303150223,HKG
2000,-14.391154966914122,30.910736210270016,HKG
2001,-23.665802991382535,27.265944488518613,HKG
2002,-17.490585902926593,19.186959235222567,HKG
2003,36.68735087252768,16.81730049235065,HKG
2004,11.216979161121255,16.280720167376003,HKG
2005,4.968242876646478,11.368763879797385,HKG
2006,35.90159219250588,14.29182463386556,HKG
2007,35.69805834854331,25.999904154695887,HKG
2008,-45.418991104285965,50.807148075671215,HKG
2009,45.07448994102803,32.555208964768056,HKG
2010,7.3901427820703525,17.96200941094126,HKG
2011,-19.4514026228344,25.377994218484584,HKG
2012,23.49141250318332,16.453613161495134,HKG
2013,0.12041147683699016,15.25066696889177,HKG
2014,1.6334583127813884,14.128409956520265,HKG
2015,-10.092961259527556,20.446859939506016,HKG
2016,3.860255556035219,18.622441934565654,HKG
2017,37.76414624089597,11.140687197432012,HKG
2018,-17.646748468227923,19.415665105542523,HKG
2019,13.581864160268363,15.672894971215277,HKG
2020,-3.7511491224628157,23.407842835064198,HKG
2021,-15.280781252445607,20.068297205671794,HKG
2022,-13.445729814498542,32.54318921538657,HKG
