code,country,year,KOFGI,KOFGIdf,KOFGIdj,KOFEcGI,KOFEcGIdf,KOFEcGIdj,KOFTrGI,KOFTrGIdf,KOFTrGIdj,KOFFiGI,KOFFiGIdf,KOFFiGIdj,KOFSoGI,KOFSoGIdf,KOFSoGIdj,KOFIpGI,KOFIpGIdf,KOFIpGIdj,KOFInGI,KOFInGIdf,KOFInGIdj,KOFCuGI,KOFCuGIdf,KOFCuGIdj,KOFPoGI,KOFPoGIdf,KOFPoGIdj
BRA,Brazil,1990,42.0,44.0,40.0,28.0,24.0,31.0,26.0,20.0,33.0,29.0,28.0,30.0,33.0,23.0,43.0,20.0,9.0,32.0,39.0,32.0,46.0,40.0,29.0,51.0,65.0,85.0,46.0
BRA,Brazil,1991,44.0,43.0,44.0,27.0,23.0,31.0,27.0,21.0,33.0,28.0,26.0,29.0,32.0,23.0,41.0,21.0,10.0,32.0,39.0,31.0,46.0,38.0,30.0,46.0,71.0,84.0,58.0
BRA,Brazil,1992,45.0,45.0,45.0,29.0,27.0,32.0,28.0,21.0,35.0,31.0,33.0,29.0,33.0,23.0,43.0,22.0,10.0,33.0,40.0,31.0,50.0,38.0,29.0,47.0,72.0,84.0,60.0
BRA,Brazil,1993,46.0,46.0,46.0,30.0,29.0,32.0,29.0,22.0,35.0,32.0,35.0,28.0,34.0,24.0,44.0,21.0,10.0,32.0,41.0,30.0,52.0,40.0,32.0,47.0,73.0,84.0,62.0
BRA,Brazil,1994,48.0,45.0,50.0,29.0,25.0,33.0,29.0,20.0,37.0,29.0,31.0,28.0,34.0,25.0,43.0,22.0,11.0,33.0,41.0,30.0,52.0,39.0,34.0,44.0,81.0,86.0,75.0
BRA,Brazil,1995,49.0,45.0,54.0,30.0,24.0,36.0,30.0,20.0,40.0,30.0,28.0,33.0,35.0,27.0,44.0,23.0,12.0,34.0,43.0,31.0,55.0,40.0,37.0,44.0,82.0,84.0,80.0
BRA,Brazil,1996,50.0,46.0,55.0,31.0,25.0,37.0,29.0,20.0,39.0,33.0,30.0,35.0,36.0,27.0,46.0,23.0,12.0,35.0,46.0,31.0,60.0,41.0,37.0,44.0,84.0,87.0,81.0
BRA,Brazil,1997,52.0,48.0,56.0,32.0,26.0,38.0,29.0,20.0,38.0,34.0,32.0,37.0,40.0,31.0,48.0,24.0,11.0,37.0,53.0,44.0,63.0,42.0,38.0,45.0,83.0,86.0,81.0
BRA,Brazil,1998,52.0,48.0,57.0,34.0,27.0,40.0,28.0,19.0,36.0,39.0,35.0,44.0,41.0,32.0,49.0,25.0,12.0,39.0,54.0,45.0,63.0,43.0,40.0,45.0,83.0,84.0,82.0
BRA,Brazil,1999,54.0,50.0,58.0,37.0,33.0,41.0,28.0,21.0,35.0,46.0,46.0,46.0,42.0,33.0,50.0,26.0,11.0,41.0,55.0,47.0,63.0,44.0,42.0,46.0,83.0,84.0,83.0
