"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2022","167.10","167.10","167.10","167.10","","0.38%"
"12/31/2021","166.46","166.46","166.46","166.46","","0.72%"
"12/30/2021","165.27","165.27","165.27","165.27","","-1.55%"
"12/29/2021","167.88","167.88","167.88","167.88","","-0.72%"
"12/28/2021","169.10","169.10","169.10","169.10","","-0.86%"
"12/24/2021","170.57","170.57","170.57","170.57","","0.26%"
"12/23/2021","170.12","170.12","170.12","170.12","","2.00%"
"12/22/2021","166.79","166.79","166.79","166.79","","1.13%"
"12/21/2021","164.92","164.92","164.92","164.92","","0.51%"
"12/20/2021","164.09","164.09","164.09","164.09","","0.27%"
"12/17/2021","163.64","163.64","163.64","163.64","","0.20%"
"12/16/2021","163.31","163.31","163.31","163.31","","0.11%"
"12/15/2021","163.13","163.13","163.13","163.13","","0.01%"
"12/14/2021","163.11","163.11","163.11","163.11","","0.21%"
"12/10/2021","162.77","162.77","162.77","162.77","","1.71%"
"12/09/2021","160.03","160.03","160.03","160.03","","0.67%"
"12/08/2021","158.96","158.96","158.96","158.96","","0.91%"
"12/07/2021","157.53","157.53","157.53","157.53","","-0.96%"
"12/06/2021","159.06","159.06","159.06","159.06","","-0.61%"
"12/03/2021","160.03","160.03","160.03","160.03","","-1.36%"
"12/02/2021","162.24","162.24","162.24","162.24","","-0.59%"
"12/01/2021","163.20","163.20","163.20","163.20","","-0.43%"
"11/30/2021","163.90","163.90","163.90","163.90","","-0.53%"
"11/29/2021","164.77","164.77","164.77","164.77","","0.00%"
"11/26/2021","164.77","164.77","164.77","164.77","","1.62%"
"11/25/2021","162.14","162.14","162.14","162.14","","0.19%"
"11/24/2021","161.84","161.84","161.84","161.84","","-1.18%"
"11/23/2021","163.78","163.78","163.78","163.78","","-0.62%"
"11/22/2021","164.81","164.81","164.81","164.81","","-2.15%"
"11/19/2021","168.43","168.43","168.43","168.43","","-0.63%"
"11/18/2021","169.50","169.50","169.50","169.50","","-0.12%"
"11/17/2021","169.70","169.70","169.70","169.70","","-0.49%"
"11/16/2021","170.54","170.54","170.54","170.54","","-0.17%"
"11/15/2021","170.83","170.83","170.83","170.83","","-0.37%"
"11/12/2021","171.47","171.47","171.47","171.47","","-0.55%"
"11/11/2021","172.42","172.42","172.42","172.42","","-0.03%"
"11/10/2021","172.48","172.48","172.48","172.48","","0.85%"
"11/09/2021","171.03","171.03","171.03","171.03","","0.36%"
"11/08/2021","170.41","170.41","170.41","170.41","","-0.31%"
"11/05/2021","170.94","170.94","170.94","170.94","","-1.42%"
"11/04/2021","173.40","173.40","173.40","173.40","","-0.94%"
"11/03/2021","175.04","175.04","175.04","175.04","","0.11%"
"11/02/2021","174.85","174.85","174.85","174.85","","-0.56%"
"11/01/2021","175.83","175.83","175.83","175.83","","-1.20%"
"10/29/2021","177.96","177.96","177.96","177.96","","0.06%"
"10/28/2021","177.85","177.85","177.85","177.85","","1.15%"
"10/27/2021","175.82","175.82","175.82","175.82","","0.03%"
"10/26/2021","175.77","175.77","175.77","175.77","","-0.46%"
"10/25/2021","176.59","176.59","176.59","176.59","","-1.09%"
"10/22/2021","178.54","178.54","178.54","178.54","","0.65%"
"10/21/2021","177.39","177.39","177.39","177.39","","0.59%"
"10/19/2021","176.35","176.35","176.35","176.35","","-1.13%"
"10/18/2021","178.36","178.36","178.36","178.36","","-0.28%"
"10/15/2021","178.86","178.86","178.86","178.86","","0.99%"
"10/14/2021","177.10","177.10","177.10","177.10","","0.53%"
"10/13/2021","176.17","176.17","176.17","176.17","","0.05%"
"10/12/2021","176.09","176.09","176.09","176.09","","0.15%"
"10/08/2021","175.82","175.82","175.82","175.82","","-1.06%"
"10/07/2021","177.70","177.70","177.70","177.70","","-1.00%"
"10/06/2021","179.49","179.49","179.49","179.49","","-0.11%"
"10/05/2021","179.69","179.69","179.69","179.69","","-1.23%"
"10/04/2021","181.92","181.92","181.92","181.92","","0.38%"
