"Date","Price","Open","High","Low","Vol.","Change %"
"2022-01-03","4,796.56","4,778.14","4,796.64","4,758.17","","0.64%"
"2021-12-31","4,766.18","4,775.21","4,786.83","4,765.75","","-0.26%"
"2021-12-30","4,778.73","4,794.23","4,808.93","4,775.33","","-0.30%"
"2021-12-29","4,793.06","4,788.64","4,804.06","4,778.08","","0.14%"
"2021-12-28","4,786.36","4,795.49","4,807.02","4,780.04","","-0.10%"
"2021-12-27","4,791.19","4,733.99","4,791.49","4,733.99","","1.38%"
"2021-12-23","4,725.78","4,703.96","4,740.74","4,703.96","","0.62%"
"2021-12-22","4,696.56","4,650.36","4,697.67","4,645.53","","1.02%"
"2021-12-21","4,649.23","4,594.96","4,651.14","4,583.16","","1.78%"
"2021-12-20","4,568.02","4,587.90","4,587.90","4,531.10","","-1.14%"
"2021-12-17","4,620.64","4,652.50","4,666.70","4,600.22","","-1.03%"
"2021-12-16","4,668.67","4,719.13","4,731.99","4,651.89","","-0.87%"
"2021-12-15","4,709.84","4,636.46","4,712.60","4,611.22","","1.63%"
"2021-12-14","4,634.09","4,642.99","4,660.47","4,606.52","","-0.75%"
"2021-12-13","4,669.15","4,710.30","4,710.30","4,667.60","","-0.91%"
"2021-12-10","4,712.02","4,687.64","4,713.57","4,670.24","","0.95%"
"2021-12-09","4,667.45","4,691.00","4,695.26","4,665.98","","-0.72%"
"2021-12-08","4,701.21","4,690.86","4,705.06","4,674.52","","0.31%"
"2021-12-07","4,686.75","4,631.97","4,694.04","4,631.97","","2.07%"
"2021-12-06","4,591.67","4,548.37","4,612.60","4,540.51","","1.17%"
"2021-12-03","4,538.43","4,589.49","4,608.03","4,495.12","","-0.84%"
"2021-12-02","4,577.10","4,504.73","4,595.46","4,504.73","","1.42%"
"2021-12-01","4,513.04","4,602.82","4,652.94","4,510.27","","-1.18%"
"2021-11-30","4,567.00","4,640.25","4,646.02","4,560.00","","-1.90%"
"2021-11-29","4,655.27","4,628.75","4,672.95","4,625.26","","1.32%"
"2021-11-26","4,594.62","4,664.63","4,664.63","4,585.43","","-2.27%"
"2021-11-24","4,701.46","4,675.78","4,702.87","4,659.89","","0.23%"
"2021-11-23","4,690.70","4,678.48","4,699.39","4,652.66","","0.17%"
"2021-11-22","4,682.95","4,712.00","4,743.83","4,682.17","","-0.32%"
"2021-11-19","4,697.96","4,708.44","4,717.75","4,694.22","","-0.18%"
"2021-11-18","4,706.64","4,700.72","4,708.75","4,672.78","","0.38%"
"2021-11-17","4,688.67","4,701.50","4,701.50","4,684.41","","-0.26%"
"2021-11-16","4,700.90","4,679.42","4,714.95","4,679.42","","0.39%"
"2021-11-15","4,682.81","4,689.30","4,697.42","4,672.86","","0.00%"
"2021-11-12","4,682.85","4,655.24","4,688.47","4,650.77","","0.72%"
"2021-11-11","4,649.27","4,659.39","4,664.55","4,648.31","","0.06%"
"2021-11-10","4,646.71","4,670.26","4,684.85","4,630.86","","-0.82%"
"2021-11-09","4,685.25","4,707.25","4,708.53","4,670.87","","-0.35%"
"2021-11-08","4,701.70","4,701.48","4,714.92","4,694.39","","0.09%"
"2021-11-05","4,697.53","4,699.26","4,718.50","4,681.32","","0.37%"
"2021-11-04","4,680.06","4,662.93","4,683.00","4,662.59","","0.42%"
"2021-11-03","4,660.57","4,630.65","4,663.46","4,621.19","","0.65%"
"2021-11-02","4,630.65","4,613.34","4,635.15","4,613.34","","0.37%"
"2021-11-01","4,613.67","4,610.62","4,620.34","4,595.06","","0.18%"
"2021-10-29","4,605.38","4,572.87","4,608.08","4,567.59","","0.19%"
"2021-10-28","4,596.42","4,562.84","4,597.55","4,562.84","","0.98%"
"2021-10-27","4,551.68","4,580.22","4,584.57","4,551.66","","-0.51%"
"2021-10-26","4,574.79","4,578.69","4,598.53","4,569.17","","0.18%"
"2021-10-25","4,566.48","4,553.69","4,572.62","4,537.36","","0.47%"
"2021-10-22","4,544.90","4,546.12","4,559.67","4,524.00","","-0.11%"
"2021-10-21","4,549.78","4,532.24","4,551.44","4,526.89","","0.30%"
"2021-10-20","4,536.19","4,524.42","4,540.87","4,524.40","","0.37%"
"2021-10-19","4,519.63","4,497.34","4,520.40","4,496.41","","0.74%"
"2021-10-18","4,486.48","4,463.72","4,488.75","4,447.47","","0.34%"
"2021-10-15","4,471.37","4,447.69","4,475.82","4,447.69","","0.75%"
"2021-10-14","4,438.23","4,386.75","4,439.73","4,386.75","","1.71%"
"2021-10-13","4,363.80","4,358.01","4,372.87","4,329.92","","0.30%"
"2021-10-12","4,350.64","4,368.31","4,374.89","4,342.09","","-0.24%"
"2021-10-11","4,361.19","4,385.44","4,415.88","4,360.59","","-0.69%"
"2021-10-08","4,391.36","4,406.51","4,412.02","4,386.22","","-0.19%"
"2021-10-07","4,399.76","4,383.73","4,429.97","4,383.73","","0.83%"
"2021-10-06","4,363.55","4,319.57","4,365.57","4,290.49","","0.41%"
"2021-10-05","4,345.72","4,309.87","4,369.23","4,309.87","","1.05%"
"2021-10-04","4,300.46","4,348.84","4,355.51","4,278.94","","-1.30%"
"2021-10-01","4,357.05","4,317.16","4,375.19","4,288.52","","1.15%"
