year,YoY Change,volatility,code
1995,-15.942051634681498,49.15773668508345,CHN
1996,70.93907449755517,42.47994289992029,CHN
1997,32.742024950240925,34.19498170132159,CHN
1998,-7.755209058805224,20.694992433840962,CHN
1999,24.919614147909975,27.412951655875993,CHN
2000,49.56732581041974,21.351895670864828,CHN
2001,-23.39372560578471,21.499030045260866,CHN
2002,-18.044048926703027,23.915929837662592,CHN
2003,14.883805456486666,17.739310654588586,CHN
2004,-18.087385231908993,20.492041894153342,CHN
2005,-4.973567112176824,21.43417668795459,CHN
2006,129.9586776859504,20.979066072587887,CHN
2007,94.15882344277027,34.47374793492142,CHN
2008,-64.33173203661805,44.78878206854562,CHN
2009,72.47437151729126,29.695410204992935,CHN
2010,-12.057303869583446,22.106625393918765,CHN
2011,-23.95176414912451,18.055482393014163,CHN
2012,4.959919608737939,17.107495095125763,CHN
2013,-7.360594469013915,17.882592305452388,CHN
2014,58.838337149602495,16.996748531873312,CHN
2015,-1.6194501152059892,38.217842320111934,CHN
2016,-4.864300752974582,22.693845107458472,CHN
2017,6.773450853338092,8.545384815565097,CHN
2018,-26.372549898008856,19.32634984540815,CHN
2019,25.145520405307288,17.801286216071638,CHN
2020,13.540775314404252,20.392211160956972,CHN
2021,3.6931623541233582,13.736674414389462,CHN
