date,value
1990-12-19,99.9800
1990-12-20,104.3900
1990-12-21,109.1300
1990-12-24,114.5500
1990-12-25,120.2500
1990-12-26,125.2700
1990-12-27,125.2800
1990-12-28,126.4500
1990-12-31,127.6100
1991-01-02,128.8400
1991-01-03,130.1400
1991-01-04,131.4400
1991-01-07,132.0600
1991-01-08,132.6800
1991-01-09,133.3400
1991-01-10,133.9700
1991-01-11,134.6000
1991-01-14,134.6700
1991-01-15,134.7400
1991-01-16,134.2400
1991-01-17,134.2500
1991-01-18,134.2400
1991-01-21,134.2400
1991-01-22,133.7200
1991-01-23,133.1700
1991-01-24,132.6100
1991-01-25,132.0500
1991-01-28,131.4600
1991-01-29,130.9500
1991-01-30,130.4400
1991-01-31,129.9700
1991-02-01,129.5100
1991-02-04,129.0500
1991-02-05,128.5800
1991-02-06,129.1400
1991-02-07,129.7900
1991-02-08,130.3800
1991-02-11,130.9700
1991-02-12,131.3500
1991-02-13,131.9200
1991-02-14,132.5300
1991-02-19,133.1300
1991-02-20,133.6700
1991-02-21,134.2800
1991-02-22,134.8700
1991-02-25,134.4000
1991-02-26,133.9300
1991-02-27,133.4700
1991-02-28,133.0100
1991-03-01,132.5300
1991-03-04,131.9900
1991-03-05,131.4600
1991-03-06,130.9400
1991-03-07,130.4100
1991-03-08,129.8900
1991-03-11,129.3100
1991-03-12,128.7700
1991-03-13,126.1500
1991-03-14,125.6300
1991-03-15,125.1700
1991-03-18,124.7100
1991-03-19,124.2200
1991-03-20,123.6600
1991-03-21,123.1200
1991-03-22,122.6200
1991-03-25,122.1200
1991-03-26,121.6200
1991-03-27,121.1200
1991-03-28,120.6100
1991-03-29,120.1900
1991-04-01,120.7300
1991-04-02,121.2100
1991-04-03,121.7100
1991-04-04,121.7200
1991-04-05,121.5400
1991-04-08,121.0900
1991-04-09,120.6200
1991-04-10,120.1600
1991-04-11,119.6400
1991-04-12,119.2100
1991-04-15,118.7700
1991-04-16,118.3400
1991-04-17,117.9000
1991-04-18,117.4500
1991-04-19,117.0800
1991-04-22,116.6300
1991-04-23,116.1900
1991-04-24,115.7900
1991-04-25,115.3600
1991-04-26,115.5600
1991-04-29,114.7500
1991-04-30,113.9400
1991-05-02,113.1600
1991-05-03,112.4100
1991-05-06,111.6100
1991-05-07,110.8200
1991-05-08,110.0300
1991-05-09,109.2900
1991-05-10,108.5300
1991-05-13,107.8400
1991-05-14,107.1900
1991-05-15,106.5700
1991-05-16,105.7700
1991-05-17,106.7500
1991-05-20,107.8200
1991-05-21,108.8100
1991-05-22,108.2500
1991-05-23,109.0800
1991-05-24,110.0800
1991-05-27,110.6600
1991-05-28,111.6800
1991-05-29,112.7500
1991-05-30,113.8200
1991-05-31,114.8300
1991-06-03,115.9700
1991-06-04,117.1200
1991-06-05,118.1700
1991-06-06,119.3500
1991-06-07,120.4700
1991-06-10,121.6700
1991-06-11,122.8900
1991-06-12,124.1100
1991-06-13,125.3400
1991-06-14,124.5300
1991-06-17,125.7700
1991-06-18,127.0300
1991-06-19,128.2900
1991-06-20,129.5700
1991-06-21,130.8600
1991-06-24,132.1700
1991-06-25,133.4900
1991-06-26,134.8300
1991-06-27,136.1900
1991-06-28,137.5600
1991-07-01,136.8500
1991-07-02,135.9600
1991-07-03,135.2700
1991-07-04,136.6300
1991-07-05,135.9600
1991-07-08,135.2800
1991-07-09,134.6400
1991-07-10,133.9900
1991-07-11,133.3800
1991-07-12,132.8000
1991-07-15,133.1400
1991-07-16,134.4700
1991-07-17,135.8100
1991-07-18,137.1700
1991-07-19,136.7000
1991-07-22,138.0700
1991-07-23,139.3900
1991-07-24,140.6800
1991-07-25,140.1900
1991-07-26,140.6600
1991-07-29,141.5200
1991-07-30,142.3900
1991-07-31,143.8000
1991-08-01,145.2400
1991-08-02,146.6800
1991-08-05,148.1500
1991-08-06,149.6200
1991-08-07,151.1200
1991-08-08,152.6100
1991-08-09,154.1000
1991-08-12,155.5400
1991-08-13,157.0700
1991-08-14,158.6300
1991-08-15,160.2100
1991-08-16,161.6000
1991-08-19,163.2100
1991-08-20,164.8400
1991-08-21,166.4900
1991-08-22,168.1600
1991-08-23,169.8100
1991-08-26,171.5100
1991-08-27,173.1900
1991-08-28,174.9200
1991-08-29,176.6600
1991-08-30,178.4300
1991-09-02,180.2200
1991-09-03,181.9700
1991-09-04,183.6900
1991-09-05,185.5100
1991-09-06,187.3600
1991-09-09,189.2400
1991-09-10,188.3300
1991-09-11,187.2200
1991-09-12,186.2200
1991-09-13,187.7900
1991-09-16,189.6600
1991-09-17,188.6500
1991-09-18,187.6300
1991-09-19,186.8800
1991-09-20,185.9200
1991-09-23,185.0000
1991-09-24,184.0800
1991-09-25,183.1900
1991-09-26,182.3300
1991-09-27,181.8200
1991-09-30,180.9200
1991-10-03,182.4800
1991-10-04,184.2900
1991-10-07,186.0000
1991-10-08,187.4900
1991-10-09,189.1200
1991-10-10,191.0100
1991-10-11,192.8500
1991-10-14,194.6700
1991-10-15,196.6100
1991-10-16,198.5700
1991-10-17,200.5100
1991-10-18,202.5100
1991-10-21,204.5300
1991-10-22,206.5300
1991-10-23,208.2500
1991-10-24,210.0700
1991-10-25,211.8600
1991-10-28,213.9800
1991-10-29,215.7800
1991-10-30,216.4300
1991-10-31,218.6000
1991-11-01,220.7200
1991-11-04,222.7700
1991-11-05,224.6500
1991-11-06,226.8800
1991-11-07,228.9300
1991-11-08,231.2200
1991-11-11,233.5500
1991-11-12,235.8000
1991-11-13,236.6700
1991-11-14,237.4500
1991-11-15,238.2500
1991-11-18,240.6200
1991-11-19,242.2400
1991-11-20,244.5000
1991-11-21,246.3100
1991-11-22,248.5300
1991-11-25,250.8500
1991-11-26,252.9700
1991-11-27,255.4500
1991-11-28,257.3500
1991-11-29,259.6000
1991-12-02,262.1900
1991-12-03,264.8100
1991-12-04,265.7700
1991-12-05,266.6600
1991-12-06,269.3500
1991-12-09,270.2700
1991-12-10,272.9100
1991-12-11,273.7100
1991-12-12,274.4100
1991-12-13,277.0000
1991-12-16,277.8500
1991-12-17,278.6800
1991-12-18,279.5100
1991-12-19,280.1700
1991-12-20,282.8300
1991-12-23,285.6500
1991-12-24,286.2200
1991-12-25,287.1500
1991-12-26,288.0300
1991-12-27,290.8500
1991-12-30,291.7100
1991-12-31,292.7500
1992-01-02,293.7500
1992-01-03,296.5200
1992-01-06,297.6800
1992-01-07,298.7700
1992-01-08,299.6600
1992-01-09,300.6200
1992-01-10,301.8300
1992-01-13,303.0600
1992-01-14,305.7400
1992-01-15,306.6300
1992-01-16,306.8500
1992-01-17,307.3800
1992-01-20,307.3900
1992-01-21,307.8700
1992-01-22,307.9500
1992-01-23,308.5300
1992-01-24,309.0500
1992-01-27,311.6100
1992-01-28,311.8400
1992-01-29,312.4200
1992-01-30,312.7300
1992-01-31,313.2400
1992-02-03,314.1800
1992-02-07,314.7200
1992-02-10,315.5600
1992-02-11,316.4300
1992-02-12,316.4400
1992-02-13,317.0400
1992-02-14,319.6800
1992-02-17,319.7700
